id,name,state,forest
307,MCCORMICK / DREW CREEK,California,Stanislaus National Forest
308,PINGREE LAKE,California,Stanislaus National Forest
309,LIGHTNING MOUNTAIN,California,Stanislaus National Forest
310,BULL RUN ROCK,California,Stanislaus National Forest
311,NEAR PIKES PEAK,California,Stanislaus National Forest
312,COOPER POCKET,California,Stanislaus National Forest
313,BLACK HAWK LAKE,California,Stanislaus National Forest
314,SUMMIT CREEK,California,Stanislaus National Forest
315,LIGHTNING MOUNTAIN / ARNOT,California,Stanislaus National Forest
316,LETORA LAKE,California,Stanislaus National Forest
317,SPRING CREEK,California,Stanislaus National Forest
318,CLARK FORK CAMPGROUND,California,Stanislaus National Forest
319,BOUNDRY LAKE ( SPUR ),California,Stanislaus National Forest
320,LONG LAKE,California,Stanislaus National Forest
321,PRUITT LAKE,California,Stanislaus National Forest
322,DISASTER / PARIDISE,California,Stanislaus National Forest
323,TOMS CANYON,California,Stanislaus National Forest
324,BOULDER FLAT,California,Stanislaus National Forest
325,WOOD / DEER LAKES,California,Stanislaus National Forest
326,LAKE VALLEY / S.FORK STANISLAU,California,Stanislaus National Forest
327,BIG LAKE,California,Stanislaus National Forest
328,RELIEF / SAUCER MEADOW,California,Stanislaus National Forest
329,LONG LAKE,California,Stanislaus National Forest
330,STANISLAUS RIVER / CAMP LIAHON,California,Stanislaus National Forest
331,BALD PEAK,California,Stanislaus National Forest
332,KENNEDY MEADOWS / RELIEF RESER,California,Stanislaus National Forest
333,LIGHTNING MOUNTAIN,California,Stanislaus National Forest
334,BARN MEADOW,California,Stanislaus National Forest
335,BOURLAND CREEK,California,Stanislaus National Forest
336,HAY MEADOW / 19E91,California,Stanislaus National Forest
337,HYATT LAKE,California,Stanislaus National Forest
339,HORSE MEADOW / CHERRY CREEK,California,Stanislaus National Forest
341,LONG VALLEY CREEK,California,Stanislaus National Forest
343,PEACEFUL PINES / DISASTER,California,Stanislaus National Forest
344,TWAIN HARTE OHV-ATV,California,Stanislaus National Forest
345,CALAVERAS DN OHV ATV RT7E,California,Stanislaus National Forest
346,NORTH FORK CHERRY CREEK,California,Stanislaus National Forest
348,BENNET JUNIPER,California,Stanislaus National Forest
349,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
350,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
351,ASPEN,California,Stanislaus National Forest
352,PINE J,California,Stanislaus National Forest
353,POLE KNOLL,California,Stanislaus National Forest
354,SPRINGS CONNECTOR,California,Stanislaus National Forest
355,TURKEY TRACK ROAD,California,Stanislaus National Forest
356,HULL CREEK OHV - ATV,California,Stanislaus National Forest
357,HULL CREEK/STRAWBERRY OHV- ATV,California,Stanislaus National Forest
358,ART BRANCH,California,Stanislaus National Forest
359,ALPINE HORSE TRAIL ALT ROUTE,California,Stanislaus National Forest
361,HULL CREEK OHV,California,Stanislaus National Forest
362,HULL CREEK OHV- 4X4,California,Stanislaus National Forest
364,HULL CREEK OHV - ATV,California,Stanislaus National Forest
365,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
366,LK ALPINE CG TO CHICKAREE,California,Stanislaus National Forest
368,HULL CREEK OHV- ATV,California,Stanislaus National Forest
369,DONNELL VISTA2,California,Stanislaus National Forest
370,HULL CREEK OHV-4X4,California,Stanislaus National Forest
373,SARDINE,California,Stanislaus National Forest
374,SQUIRREL CANYON,California,Stanislaus National Forest
375,PAT MULLEN MOUNTAIN CONNECTOR,California,Stanislaus National Forest
376,YAM CANYON TRAIL,California,Stanislaus National Forest
377,SMOKEY TRAIL,California,Stanislaus National Forest
378,RIM RUN,California,Stanislaus National Forest
379,ASPEN,California,Stanislaus National Forest
380,ARNOLD RIM TRAIL - ADA,California,Stanislaus National Forest
383,HULL CREEK OHV - ATV,California,Stanislaus National Forest
384,HULL CREEK OHV- ATV,California,Stanislaus National Forest
385,HULL CREEK OHV - M/C,California,Stanislaus National Forest
387,HWY 4 TO 19E01,California,Stanislaus National Forest
389,L.G.C.F ( SPUR),California,Stanislaus National Forest
390,JAWBONE RIDGE,California,Stanislaus National Forest
391,TEXAS HILL MINE,California,Stanislaus National Forest
392,COUNTY LINE,California,Stanislaus National Forest
393,MOSS CREEK,California,Stanislaus National Forest
394,WEST SHORE CHERRY LAKE,California,Stanislaus National Forest
395,L.G.C.F. INTERPERATIVE TRAIL,California,Stanislaus National Forest
396,WOODS RIDGE LOOKOUT,California,Stanislaus National Forest
397,JAWBONE CREEK,California,Stanislaus National Forest
398,HULL CREEK OHV - ATV,California,Stanislaus National Forest
399,TEXAS HILL,California,Stanislaus National Forest
400,RAINBOW POOL,California,Stanislaus National Forest
401,L.G.C.F. FALLS INTERPERATIVE T,California,Stanislaus National Forest
402,RED CLOUD,California,Stanislaus National Forest
403,JORDAN FLAT,California,Stanislaus National Forest
404,TEXAS HILL,California,Stanislaus National Forest
405,SOUTH FORK TUOLUMNE RIVER,California,Stanislaus National Forest
406,SPUR FROM 19E58,California,Stanislaus National Forest
